"No.","Material No.","Item and Spec","Units","Remark"
"1","","Piston rod","1","HCG0106C-90/70-02"
"2","","Check ring","1","60×54.4×1.5"
"3","","O ring","1","53.57×3.53"
"4","","Dust ring","1","70×80×6.8"
"5","","Piston rod seal","1","70×80×7"
"6","","Guide sleeve","1","HCG0106-90/70-04"
"7","","Water-proof O ring","1","95×3.1"
"8","","O ring","1","82.14×3.53"
"9","","Guide ring","1","φ70×φ75×9.5"
"10","","Piston seal","1","φ90×φ70×22.4"
"11","","Piston","1","HCG0106-90/70-02"
"12","","Stopper screw","1","M8×8/45H"
"13","","Steel ball 5","1","GB/T308-2002"
"14","","Flexible shaft wire Check 
ring","1","GB895.2-86"
"15","","Cylinder body","1","HCG0106C-90/70-01"
