"No.","Material No.","Item and Spec","Units","Remark"
"1","","Cylinder body","1","HCG0231-40/20-01"
"2","","Piston","1","HCG0231-40/20-02"
"3","","Piston rod","1","HCG0231-40/20-03"
"4","","Guide sleeve","1","HCG0104-40/20-04"
"5","","Knuckle bearing GE20ES","2","GB/T9163-2001"
"6","","Check ring35","4","GB/893.1-86"
"7","","Stopper screw","1","M6×6/45H"
"8","","Piston seal","1","29×40×4.2"
"9","","O RING","1","20×3.5"
"10","","Support ring ZD40A","1","CY166-2011"
"11","","O RING","1","32.92×3.53"
"12","","Check ring","1","40×34.4×1.5"
"13","","Piston rod seal","2","φ20×φ28×5.7"
"14","","Dust ring","1","20×28×4.8"
"15","1140103526","High pressure articulating 
joint","2","WH10LRKDSOMDCF"
