"No.","Material No.","Item and Spec","Units","Remark"
"1","","Piston rod 
(ZS1012/ZS1212)","1","HCG0220B-80/63-02"
"","","Piston rod 
(ZS1414)","1","HCG0651-80/63-02"
"2","","Check ring","1","50×44.4×1.5"
"3","","O RING","1","44.04×3.53"
"4","","Dust ring","1","63×71×5.8"
"5","","Piston rod seal","1","63×73×7"
"6","","Guide sleeve","1","HCG0220-80/63-04"
"7","","Water-proof O ring","1","85×3.1"
"8","","O RING","1","72.62×3.53"
"9","","Guide ring","1","φ63×φ68×9.5"
"10","","Piston seal","1","φ60×φ80×22.4"
"11","","Piston","1","HCG0220-80/63-02"
"12","","Stopper screw","1","M8×8/45H"
"13","","Steel ball 5","1","GB/T308-2002"
"14","","flexible shaft wire Check 
ring","1","GB895.2-86"
"15","","Cylinder body 
(ZS1012/ZS1212)","1","HCG0220B-80/63-01"
"","","Cylinder body 
(ZS1414)","1","HCG0651-80/63-01"
