"NO.","Material No.","Item and Spec","Units","Remark"
"21","1040200503","Nut M8","1","GB/T889.1-2000"
"22","1040300066","Washer 8","1","GB/T97.1-2002"
"23","1040200506","Nut M6-8","2","GB/T889.1-2000"
"24","1040100237","Screw M6×30-8.8","2","GB/T70.1-2000"
"25","00775602820201010","Transparent plate","1",""
"26","1020304982","Buzzer","1",""
"27","1020304978","Basin shaped horn","1",""
"28","1040100620","Screw M6×16","4","GB/T818-2000"
"29","1020300083","Common relay 
(ZS1414/1212/1012DC-Li 
ZS0812DC-Li)","1",""
"","1020305334","Common relay 
(ZS1414/1212/ 
1012/0812HA-Li 
ZS1414/1212/1012/ 
0812AC-Li)","1",""
"30","1040201605","Nut M4-8","1","GB/T889.1-2000"
"31","1040102716","Screw M4×35","1","GB/T70.1-2000"
