"NO.","Material No.","Item and Spec","Units","Remark"
"1","1054400310","Composite bush 
44×38×30","18",""
"2","00775600300001140","Gasket","10",""
"3","00775400300400000","Internal scissor arm I","1",""
"4","00775400300200000","External scissor arm I","1",""
"5","00775400300600000","Internal scissor arm II","1",""
"6","00775600300600000","External scissor arm II","1",""
"7","00775300300200000","Internal scissor arm III","1",""
"8","00775300300400000","External scissor arm III","1",""
"9","1054400309","Composite 
bush44×38×50","4",""
"10","00775500300001010","End pipe trunking III","1",""
"11","00775600300800000","External scissor arm III","1",""
"12","00775400300001020","Axle II","2",""
"13","1040200503","NutM8-8","2","GB/T889.1-2000"
"14","00775600000001050","Articulated pin","2",""
"15","1040000689","BoltM8×35-8.8","2","GB/T5782-2000"
"16","1054400311","Composite bush 
44×38×20","8",""
"17","00775600300001120","Spacer, bearing","4",""
"18","1040200504","Nut M10-8","11","GB/T889.1-2000"
"19","1040000025","Bolt M10×80-8.8","11","GB/T5782-2000"
"20","00775600300001020","Axle II","4",""
"21","1040300984","Retaining ring 38","9","GB/T894.1-1986"
"22","00775400300001010","Axle I","5",""
"23","00775600300001070","End pipe trunking I","2",""
"24","00775600300001100","Nylon cover II","10",""
"25","1990201051","Clamp","5",""
