"NO.","Material No.","Item and Spec","Units","Remark"
"1","1030800655","Tire","2",""
"2","1040500535","Split pin 4×80","2","GB/T91-2000"
"3","1040000807","Bolt M12×120-8.8","8","GB/T5782-2000"
"4","1040300526","Washer 12","12","GB/T97.1-2002"
"5","1040200507","Nut M12-8","12","GB/T889.1-2000"
"6","1059900526","Brake","2",""
"7","00775302890001090","Counterweight","1",""
"8","00775302890001080","Battery charger Tray","",""
"9","00775302891000000","Ladder","1",""
"10","1040001680","Bolt M10×30-8.8","4","GB/T5783-2016"
"11","00775602801601010","Coil III","1",""
"12","1100700162","T handle (Red)","1",""
"13","1040100055","Screw M6×20-8.8","2","GB/T70.1-2000"
"14","1040300051","Washer 6","2","GB/T97.1-2002"
"15","00775605200401030","Lower stay wire bracket","1",""
"16","1040200506","Nut M6-8","2","GB/T889.1-2000"
"17","00775302890001010","Protective cover","1",""
"18","1040100127","Screw M6×12-8.8","4","GB/T70.1-2000"
"19","00775602800001180","Coil II","2",""
"20","00775602801601040","Protecting bush II","1",""
"21","1040000288","Bolt M8×25-8.8","4","GB/T5783-2000"
"22","1040300063","Washer 8","4","GB/T93-1987"
"23","1040300094","Washer 8-140HV","4","GB/T96.1-2002"
"24","00775302890001120","Ladder mounting plate","2",""
"25","1040100105","Screw M6×25-8.8","8","GB/T70.1-2000"
"26","1040300062","Washer 6","8","GB/T93-1987"
"27","1040300093","Washer 6-200HV","12","GB/T96.1-2002"
"28","00775302890001070","Counterweight pressing plate","1",""
"29","1040100237","Screw M6×30-8.8","2","GB/T70.1-2000"
"30","1020999046","Vehicle-mounted battery 
charger","1",""
"31","00775302890001110","Waterproof cover plate","1",""
"32","1020605443","Residual current circuit breaker","1",""
