"No.","Material No.","Item and Spec","Units","Remark"
"0","","Valve block","1","ST4895-A000M"
"1","1010306548","Relief valve","1","STRV08-G-210A"
"2","1010306550","Solenoid valve","1","SV10-40-0-N-0"
"3","1010306565","Pressure-gradient control 
valve","1","FR10-30F-0-N-/M3.5"
"4","1010306564","Solenoid valve","1","SC08-47A-0-N-0"
"5","1019809041","Damping","1","STTY002-1.0"
"6","1010306595","Relief valve","1","STRV08-B-120A"
"7","1029906518","Coil","2","4303620"
"8","1029906519","Coil","1","4303720"
"9","1019803186","Plug","15","4BN-02WD"
"10","1011200142","Plug","1","4BN-04WD"
"11","1011200145","Plug","1","4BN-06WD"
"12","1010306187","Platform Control Valve","1","ST4895-AE00"
"13","1140114036","Hydraulic pipe joint","1","GE12LREDOMD"
"14","1140114039","Hydraulic pipe joint","2","GE10LREDOMD"
"15","1140114040","Hydraulic pipe joint","3","GE10LR3/8EDOMD"
"16","1140114187","Pressure joint","1","SD-M16×2-F-G1/4"""
"17","1140101476","Tube to swivel","2","EW10LOMDCF"
"18","1140107463","Joint","1","EW12LOMD"
"19","1040100421","Screw","4","M8×20-8.8"
