"NO.","Material No.","Item and Spec","Units","Remark"
"1","007753028B1201000","Hydraulic Tray box","1",""
"2","1010002860","Power unit","1",""
"3","1040100097","Screw M10×30-8.8","2","GB/T70.1-2000"
"4","1040300061","Washer 10-200HV","2","GB/T97.1-2002"
"5","1040300067","Washer 10","2","GB/T93-1987"
"6","007753028B1201130","Motor driver bracket","1",""
"7","1020005354","Motor driver","1",""
"8","1040100055","Screw M6×20","4","GB/T70.1-2000"
"9","1040300051","Washer 6-200HV","4","GB/T93-1987"
"10","1040300062","Washer 6","4","GB/T97.1-2002"
"11","1040301697","Washer 4","2","GB/T97.1-2002"
"12","1040300044","Washer 4","2","GB/T93-1987"
"13","1029804041","Screw M4×25-4.8","2","GB/T70.1-2000"
"14","1020521389","Key switch","1",""
"15","1020304979","Breaker","1",""
"16","1020502039","Emergency stop button","1",""
"17","1020104088","Ground control assembly","1",""
