"No.","Material No.","Item and Spec","Units","Remark"
"1","","Cylinder body","1","HCG0598-40/20-01"
"2","","Piston","1","HCG0104-40/20-02"
"3","","Piston rod","1","HCG0598-40/20-02"
"4","","Guide sleeve","1","HCG0104-40/20-04"
"5","","Stopper screw","1","M6×10/45H"
"6","","Piston seal","1","29×40×4.2"
"7","","O ring","1","20×3.5"
"8","","Support ring ZD40A","1","CY166-2011"
"9","","O ring","1","32.92×3.53"
"10","","Stop ring","1","40×34.4×1.5"
"11","","Piston rod seal","2","φ20×φ28×5.7"
"12","","Dust ring","1","20×28×4.8"
"13","1140103526","High pressure articulating 
joint","2","WH10LRKDSOMDCF"
