"No.","Material No.","Item and Spec","Units","Remark"
"1","","Piston rod","1","HCG0657-63/45-03"
"2","","Dust ring","1","45×53×5.8"
"3","","Piston rod seal","1","45×55×7"
"4","","Guide sleeve","1","HCG0657-63/45-04"
"5","","Water-proof O ring","1","75×3.1"
"6","","O ring","1","56.74×3.53"
"7","","Guide ring","2","Td45B"
"8","","Piston seal","1","63×47×18.4"
"9","","Check ring","1","φ35×φ40.6×1.5"
"10","","O ring","1","34.52×3.53"
"11","","Piston","1","HCG0657-63/45-02"
"12","","Stopper screw","1","M8×12/45H"
"13","","Steel ball 4","1","GB/T308-2002"
"14","","Bearing ring","1","ZD63A"
"15","","Cylinder body","1","HCG0657-63/45-01"
