"NO.","Material No.","Item and Spec","Units","Remark"
"1","00770502214001210","stay","1",""
"2","1020502039","Scram button","1",""
"3","1020304979","The circuit breaker","1",""
"4","1020404906","LED flashing","2",""
"5","1020520943","Key switch","1",""
"6","1020304603","DC contactor","1",""
"7","1020604246","The fuse holder","1",""
"8","00770502213001250","The controller","1",""
"9","1020201964","GPS terminal","1",""
"10","1020304978","Basin shaped horn","1",""
"11","00770502204001148","The charger 3","1",""
"12","00770502209001030","The motor","2",""
"13","00770502209001040","Reducer","2",""
"14","00772002800001180","Drive sprocket","2",""
"15","00772002800001110","Big gasket","2",""
"16","1040001631","Bolt M6×20-A2-70","4","GB/T5783-2000"
"17","1040201381","Nut M12-8","8","GB/T6170-2000"
"18","1040000689","Bolt M8×35-8.8","8","GB/T5782-2000"
"19","1040301515","Washer 8-200HV","8","GB/T97.1-2002"
"20","1040200503","Nut M8-8","8","GB/T889.1-2000"
