"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775307080202090","Label- Lanyard Anchorage Point","4",""
"2","00775307080402180","Label-Tilt the Road","1",""
"3","00772007000201020","Label- Load 240kg","1",""
"4","00775307080401090","High walking label","1",""
"5","00775307080401030","The clamp label","2",""
"6","00772007000401010","Label- Danger- Crushing Hazard","3",""
"7","00772007000401020","Label- Safety Arm","2",""
"8","00775307080202010","Label- Bound to Point","4",""
"9","00775307080402060","Label- Danger- Explosion and Fire Hazard","1",""
"10","00775307080401040","High pressure liquid hazard label","1",""
"11","00775307080202210","Label-Forklift Hole","4",""
"12","00772007000201040","Label-Grounding Load","2",""
"13","00775307080402030","Label- Read the Instructions","2",""
"14","00775307080402150","Label-Emergency Descent","1",""
"15","00775307080401060","Rated voltage of the platform power 
supply","1",""
"16","00775307080402040","Label- Store the Operation and Safety 
Manual","1",""
"17","00775307080402020","Label- Danger- Tip-over Hazard","1",""
"18","00775307080402230","Label- Safety Rules","1",""
"19","00772007000401030","Label- Max Manual Force","1",""
"20","00775307080401080","No insulation label","1",""
"21","00775207010403050","Label- Danger- Tip-over Hazard","1",""
"22","00775307080401050","AC power label","1",""
"23","00775307080402130","Label- Pre-operation Inspection","1",""
"24","00775307080202140","Label-Charger Power Supply","1",""
"25","00775307080402110","Label- Main Power Switch","1",""
"26","00775307080401070","Use safety arm stickers","1",""
"27","00775307080401020","Motpr hazard label","1",""
