"NO.","Material No.","Item and Spec","Units","Remark"
"1","1020104327","Platform control assembly","1",""
"2","00775606300410000","Upper control box","1",""
"3","1040300051","Washer 6","13","GB/T97.1-2002"
"4","1040300062","Washer 6","13","GB/T93-1987"
"5","1040100055","Screw M6×20-8.8","6","GB/T70.1-2000"
"6","1040100618","Screw M4×16-8.8","10","GB/T818-2000"
"7","1040300044","Washer 4","8","GB/T93-1987"
"8","1040301697","Washer 4","8","GB/T97.1-2002"
"9","1029906635","LED Strobe light","2",""
"10","1029906206","Guard","2",""
"11","1021403922","Angle sensor","1",""
"12","00775306504441010","Angle sensor mounting 
bracket","1",""
"13","1021404319","Angle sensor","1",""
"14","00775706320601020","Screw","1",""
"15","1040300067","Washer 10","1","GB/T93-1987"
"16","1040100127","Screw M6×12-8.8","4","GB/T70.1-2000"
"17","00772002800001210","Limit protection cover","1",""
"18","1040102716","Screw M4×35","4","GB/T70.1-2000"
"19","1020521041","Limit switch","2",""
"20","00775206310201030","Limit bracket","1",""
"21","1040201605","Lock nut M4-8","4","GB/T889.1-2000"
"22","00775200001001060","Limit block","2",""
