"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775307080402170","Label- Max Manual Force","1",""
"2","00775307080202050","Label- Load 250kg","1",""
"3","00775307080402180","Label-Tilt the Road","1",""
"4","00775307080402220","Label- Safety Arm","2",""
"5","00775307080402100","Label- Danger- Crushing Hazard","3",""
"6","00775307080202010","Label- Bound to Point","4",""
"7","00775307080202210","Label-Forklift Hole","4",""
"8","00775307080402200","Label-Grounding Load","2",""
"9","00775307080402030","Label- Read the Instructions","2",""
"10","00775307080402150","Label-Emergency Descent","1",""
"11","00775307080402040","Label- Store the Operation and Safety 
Manual","1",""
"12","00775307080402020","Label- Danger- Tip-over Hazard","1",""
"13","00775307080202090","Label- Lanyard Anchorage Point","4",""
"14","00775307080402230","Label- Safety Rules","1",""
"15","00775307080402120","Label- Danger- Tip-over Hazard","1",""
"16","00775307080202140","Label-Charger Power Supply","1",""
"17","00775307080402130","Label- Pre-operation Inspection","1",""
"18","00775307080402060","Label- Danger- Explosion and Fire Hazard","1",""
"19","00775307080402110","Label- Main Power Switch","1",""
"20","00775307080402190","Label-Plum Bolt Tightening","2",""
