"Item","Part No.","Description","Qty."
"1","00004599","ECU harness","1"
"2","00007564","Towline harness","1"
"3","00008065","Pothole harness","1"
"4","00008070","Platform control box harness","1"
"5","00008063","Lowering valve harness","1"
"6","00008064","Pressure sensor harness","1"
"7","00003863","Drive motor harness","1"
"8","00003469","Pump motor negative harness","1"
"9","00002960","Pump motor positive harness","1"
"10","00002655","Battery negative harness","1"
"11","00002955","Battery harness","1"
"12","00002961","Battery positive harness","1"
"13","00003468","Fuse harness","1"
"14","00002956","DC contactor harness","1"
"15","00003470","Motor controller harness","1"
"16","00002362B","Ground control assembly","1"
"17","00002419","Limit switch, pothole","2"
"18","00000644","Rotary sensor","1"
"19","00004632","Platform control box assembly","1"
"20","00003018","Coil","1"
"21","00003119","Coil","1"
"22","00000740","Beacon","1"
"23","00007393","Pressure sensor","1"
"24","00004274","Hydraulic power unit","1"
"25","00002561","Relay","1"
"26","00005192","Left drive motor assembly","1"
"27","00005131","Right drive motor assembly","1"
"28","00005227","Motor controller","1"
"29","00004276","Motor","1"
