"序号","物料编码","名称及规格","版本","件数","备注"
"19","1019902670","端直通加长接头","A","1","GE08LREDOMDCF
-L45"
"20","1140102198","端直通接头","A","2","GE10LM18×
1.5EDOMDCF"
"21","1140114046","液压管接头 M16×1.5","A","1","EL10LOMD"
"22","1140101476","直角组合接头 M16×1.5","A","3","EW10LOMDCF"
"23","1140105938","压力表接头 φ10-G1/4","A","1","MAVE10LRCF"
"24","1140101475","直角组合接头 M14×1.5","A","1","EW08LOMDCF"
"25","1040301510","垫圈 8","A","3","GB/T93-1987"
"26","1040004519","螺栓 M8×25-8.8","A","3","GB/T5783-2000"
"27","1040301515","垫圈 8-200HV","A","3","GB/T97.1-2002"
"28","1040201089","螺母 M8-8","A","3","GB/T6170-2000"
"29","1140114451","45度组合接头","A","1","EV10LOMD"
"30","1019902669","端直通加长接头","A","1","GE10LM18×
1.5EDOMDCF-
L41.5"
"31","1010201898","制动缸","A","1","VV08721C-001"
