"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151600200600000","机械插销","A","1","PT12=10_机械插销"
"2","02151600200001020","限位销轴 φ60*","B","2",""
"3","00773400400001250","止动销 φ16×105*","E","2",""
"4","1040002445","螺栓 M16×35-8.8","A","2","GB/T5783-2000"
"5","1040302492","垫圈 16-200HV","B","1","GB/T97.1-2002"
"6","1040004570","螺栓 M16×30-8.8","A","1","GB/T5783-2000"
"7","02151600200400000","调平油缸轴焊件","A","1",""
"8","1040005888","螺栓 M12×120-10.9","A","2","GB/T5782-2000"
"9","1040302490","垫圈 12-200HV","B","4","GB/T97.1-2002"
"10","1040200507","螺母 M12-8","A","2","GB/T889.1-2000"
"11","02151600200001010","臂头销轴 Φ70*","A","1",""
"12","02151600200200002","连接装置焊接结构","D","1",""
"13","1040502154","β型开口销 4.5×80","A","1","DIN
11024PT12=10_机
械插 销"
"14","02151600200800001","液压油缸插销总成","A","1","PT12=21_液压油缸
插销"
