"序号","物料编码","名称及规格","版本","件数","备注"
"188","1140103421","端直通接头","A","1","GE12L7/8UNFOMD
CF"
"189","1040302490","垫圈 12-200HV","B","4","GB/T97.1-2002"
"190","1040301503","垫圈 12","A","4","GB/T93-1987"
"191","1040004029","螺栓 M12×35-10.9","A","4","GB/T5783-2000"
"192","1010002359","工作泵 63CC","A","1","A10VO63DRS/53R-
VSD12 N00"
"193","1140102959","直角接头","A","1","EL08LOMDCF"
"194","1040301502","垫圈 10","A","4","GB/T93-1987"
"195","1040103313","螺钉 M10×70-10.9","A","4","GB/T70.1-2000"
"196","1019902649","端直通单向阀","A","1","RHV30SREDOMD-
0.3bar"
"197","1010310185","法兰块","A","1","ST6072-A000"
"198","1140109714","测压接头","A","1","EMA3/1/4EDCF"
"199","1140101906","高压铰接式接头","A","1","WH20SROMDCF"
"200","1140114044","液压管接头 M14×1.5-7/16-20UNF","A","1","GE08L7/16UNFOM
D"
"201","02151605300230021","法兰组件","A","1",""
