"序号","物料编码","名称及规格","版本","件数","备注"
"36","02151607100601130","胶管接接头V O45×5","A","1",""
"37","02151607100601040","出水钢管 Ow45×1.5","A","1",""
"38","02151607100601071","胶管接头I O51×5","A","1",""
"39","02151607100601032","进气钢管II Ow57×1.5","A","1",""
"40","1990202290","螺旋涡轮涡杆卡箍 70-92","A","3","SX12/W3/70-92"
"41","02151607100601101","进气胶管II O75×5","A","1",""
"42","02151607100601120","胶管接头IV O45×5","A","1",""
"43","02151607100601190","护孔圈III O45×15","A","1",""
"44","1040004644","螺栓 M12×45-10.9","A","4","GB/T5783-2000"
"45","1040303580","垫圈 8-300HV","A","6","GB/T96.1-2002"
"46","1040004519","螺栓 M8×25-8.8","A","11","GB/T5783-2000"
"47","1040202857","螺母 M12-10","A","4","GB/T889.1-2000"
"48","1040001631","螺栓 M6×20-A2-70","A","2","GB/T5783-2000"
"49","1040303579","垫圈 6-300HV","A","2","GB/T96.1-2002"
"50","1040202854","螺母 M6-8","A","2","GB/T889.1-2000"
