"序号","物料编码","名称及规格","版本","件数","备注"
"96","1140101477","直角组合接头 M18×1.5","A","2","EW12LOMDCF"
"97","1140101463","端直通接头 G1/2/M18×1.5","A","3","GE12LR1/2EDOMD
CF"
"98","1140108020","接头","A","1","EW18L0MDCF"
"99","1140102812","端直通接头","A","1","GE18LREDOMDCF"
"100","1010307448","风扇驱动阀块","A","1","PKP20036"
"101","1040300771","垫圈 6-200HV","A","3","GB/T97.1-2002"
"102","1040301610","垫圈 6","A","3","GB/T93-1987"
"103","1040102598","螺钉 M6×16-A2-70","B","3","GB/T70.1-2000"
"104","1040103440","螺钉 M10×20-10.9","A","4","GB/T70.1-2000"
"105","1040301502","垫圈 10","A","4","GB/T93-1987"
"106","1040302489","垫圈 10-200HV","B","4","GB/T97.1-2002"
"107","02151605300281011","散热控制阀安装板 Tp4","A","1",""
