"序号","物料编码","名称及规格","版本","件数","备注"
"1","1140101737","直角组合接头 M36×2","A","1","EW28LOMDCF"
"2","1140115745","堵头","A","1","VSTI1ED"
"3","1010601364","吸回油过滤器","B","1","RKM MM 201 BE
10 F 2.0/-NRF125-
ND"
"4","1010500489","空气过滤器","A","1","EFB480H150-W"
"5","1140104640","端直通组合接头","A","1","EGE28LREDCF"
"6","1040004038","螺栓 M14×30-10.9","A","2","GB/T5783-2000"
"7","1040301504","垫圈 14","A","2","GB/T93-1987"
"8","1040004518","螺栓 M8×20-8.8","A","18","GB/T5783-2000"
"9","1040301021","垫圈 14-300HV","A","2","GB/T97.1-2002"
"10","1040301510","垫圈 8","A","18","GB/T93-1987"
"11","1040301515","垫圈 8-200HV","A","18","GB/T97.1-2002"
"12","1140108476","接头","A","1","GE28LRED0MDCF"
"13","1140102812","端直通接头","A","1","GE18LREDOMDCF"
"14","1040303581","垫圈 10-300HV","A","3","GB/T96.1-2002"
"15","1040004033","螺栓 M10×25-10.9","A","3","GB/T5783-2000"
"16","02151605200610002","液压油箱","C","1",""
"17","1019901470","液位液温计","A","1","FSA-127-1.0/T/10"
"18","1040301502","垫圈 10","A","3","GB/T93-1987"
"19","1149901683","端直通接头","A","1","GE42LREDOMDCF"
"20","1140103362","端直通接头 G1/M36×2","A","1","GE28LREDOMDCF"
"21","1060300324","三通组合接头 M36×2","A","1","EL28LOMDCF"
"22","1019900975","堵头","A","1","VSTI1/4EDCF"
"23","1140101992","螺塞 G1/2","A","1","VSTI1/2EDCF"
"24","1140113949","管端堵头 M18×1.5","A","1","VKAM12L"
"25","1140103548","对接式变径接头","A","1","RED28/12LOMDA3
C"
"26","1140114041","液压管接头 M14×1.5-G1/4","A","1","GE08LREDOMD"
"27","02151605200601010","盖板 Tp6","A","1",""
"28","00771405201601010","盖板橡胶垫 Tp4","A","1",""
"29","1140101859","端直通接头","A","1","GE35LREDOMDCF"
