"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151607101001140","防雨帽 <o>76","B","1",""
"2","02151607101001092","排气管II Ow76×2","A","1",""
"3","02151607101001200","密封垫片I Tp1.2","A","1",""
"4","1040201865","螺母 M6-8","A","4","GB/T6170-2000"
"5","1040300771","垫圈 6-200HV","A","8","GB/T97.1-2002"
"6","1040002555","螺栓 M6×16-A2-70","A","4","GB/T5783-2000"
"7","02151607101001082","消声器","B","1",""
"8","1040301515","垫圈 8-200HV","A","8","GB/T97.1-2002"
"9","1040004619","螺栓 M8×35-8.8","A","8","GB/T5783-2000"
"10","02151607101001100","密封垫片 Tp1.2","A","1",""
"11","02151607101001021","排气管Ⅰ Ow60×2","C","1",""
"12","1040004520","螺栓 M8×30-8.8","A","4","GB/T5783-2000"
"13","1040303580","垫圈 8-300HV","A","8","GB/T96.1-2002"
"14","1040200398","螺母 M8-8","A","12","GB/T6177.1-2000"
"15","1040303581","垫圈 10-300HV","A","4","GB/T96.1-2002"
"16","1040004033","螺栓 M10×25-10.9","A","4","GB/T5783-2000"
"17","02151607101011151","消声器支撑板","A","1",""
"18","02151607101001011","调整垫 Tp1","A","6",""
"19","02151607111001190","盖板 Tp2","A","1",""
