"序号","物料编码","名称及规格","版本","件数","备注"
"1","1020999055","蓄电池","B","1",""
"2","1020605356","蓄电池熔断器","A","1",""
"3","1020005456","直流接触器","A","1",""
"4","1020605356(2)","蓄电池熔断器","A","1",""
"5","1029900667","电源总开关(旋钮)","A","1",""
"6","1020999231(2)","电源管理模块","A","1",""
"7","/(6)","发动机","/","/",""
"8","/(7)","启动马达","/","/",""
"9","/(8)","发电机","/","/",""
"10","/(9)","预热器","/","/",""
"11","/(10)","辅助动力泵","/","/",""
"12","02151606200234010","继电器与预热器连线","B","1",""
"13","02151606200234020","蓄电池正极与启动马达连线","C","1",""
"14","02151606200234030","蓄电池负极与手动开关连线","B","1",""
"15","02151606200234040","手动开关到搭铁线","B","1",""
"16","02151606200234050","辅助动力泵与保险连线","A","1",""
"17","02151606200234060","发动机与负极搭铁连线","B","1",""
"18","02151606200234070","蓄电池正极与预热保险及发电机连
线","B","1",""
"19","02151606200234080","蓄电池正极与保险","A","1",""
"20","02151606200234090","蓄电池负极与驾驶室电源盒","A","1",""
"21","02151606200234110","辅助动力泵搭铁线","A","1",""
"22","02151606200234120","驾驶室电源盒正与保险","A","1",""
"23","02151606200234130","起动机搭铁","A","1",""
