"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040101437","螺钉 M16×30-10.9","B","6","GB/T70.1-2000"
"2","1040301016","垫圈 16-300HV","A","15","GB/T97.1-2002"
"3","02151602802000000","销轴I","C","2",""
"4","00771402800001140","自润滑轴承 O58×4×40","A","14",""
"5","02151602800400001","支腿焊件","B","2",""
"6","02151602801010000","支腿油缸","B","2",""
"7","1080000006","油杯 M8×1","A","8","JB/T7940.1-1995"
"8","02151602802600002","支脚板焊件","B","2",""
"9","02151602800001501","保护罩II Tp2","B","1",""
"10","02151602805000000","支腿安装销轴","B","4",""
"11","02151602800001030","免润滑轴承 O58×4×60","A","4",""
"12","02151602800001451","保护罩 Tp2","B","1",""
