"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040000135","螺栓 M8×55-8.8","A","10","GB/T5783-2000"
"2","02151600300001082","管夹 T19*","A","2",""
"3","02151600301600001","调平油缸","B","1",""
"4","02151600300001020","压板 Tp6","B","3",""
"5","02151600301800000","销轴","A","1",""
"6","02151600300200002","第一节臂焊件","C","1",""
"7","02151600300001030","管夹 T19*","A","6",""
"8","1040301515","垫圈 8-200HV","A","32","GB/T97.1-2002"
"9","02151600300001060","管夹 T19*","B","2",""
"10","02151600300001010","轴承 O68×4×50","A","4",""
"11","02151600300600002","第三节臂焊件","C","1",""
"12","02151600301000002","第一节臂附件","C","1",""
"13","02151600302200000","销轴","A","1",""
"14","1040004599","螺栓 M8×60-8.8","A","1","GB/T5782-2000"
"15","02151600301400002","第三节臂附件","C","1",""
"16","1080000006","油杯 M8×1","A","5","JB/T7940.1-1995"
"17","1040002445","螺栓 M16×35-8.8","A","4","GB/T5783-2000"
"18","02151600302000000","销轴","A","1",""
"19","02151600300001100","压板 Tp6","A","1",""
"20","02151600300400002","第二节臂焊件","C","1",""
"21","02151600300800002","伸缩机构","C","1",""
"22","1040007538","螺栓 M8×70-8.8","A","7","GB/T5782-2000"
"23","02151600300001091","底板 Tp15*","A","1",""
"24","02151600301200002","第二节臂附件","C","1",""
"25","02151600300001040","压板 Tp4","A","1",""
