"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151603800400000","浮动油缸","A","2",""
"2","02151603800001090","自润滑轴承 O58×4×40","A","4",""
"3","02151603800001120","销轴I φ50*","A","2",""
"4","00773400400001250","止动销 φ16×105*","E","4",""
"5","1040006550","螺栓 M16×40-10.9","A","4","GB/T5783-2000"
"6","02151603800001111","保护罩 Tp2","A","1",""
"7","00773702800001220","免润滑轴承 O58×4×60","A","2",""
"8","1080000006","油杯 M8×1","A","4","JB/T7940.1-1995"
"9","02151603800001130","销轴II Φ50*","A","2",""
"10","02151603800200000","支座焊件","B","2",""
"11","02151603800001101","板 Tp16","A","2",""
"12","1040201484","螺母 M20-10","A","8","GB/T6170-2000"
"13","1040301033","垫圈 20-300HV","B","16","GB/T97.1-2002"
"14","1040007519","螺栓 M20×220-10.9","A","8","GB/T5782-2000"
