"序号","物料编码","名称及规格","版本","件数","备注"
"79","1140255459","胶管F481CACF121206-2260","A","1",""
"80","1140228750","胶管F481CACF101004-770","A","1",""
"81","1140281330","胶管F481CACF101004-230","A","1",""
"82","1140281329","胶管F481CACF101004-305","A","1",""
"83","1140233949","胶管F481CACF101004-340","A","1",""
"84","1140281257","胶管F481CACF101004-3380","A","1",""
"85","1140203379","胶管F481CACF101004-350","A","1",""
"86","1140281256","胶管F481CACE121006-3980","A","1",""
"87","1140281253","胶管F481CACE101006-1890","A","1",""
"88","1140281254","胶管F481CACF080804-1480","A","1",""
"89","1140256029","胶管F481CACE101006-1360","A","1",""
"90","1140259283","胶管F481CACA101006-450","A","1",""
"91","1140260637","胶管F481CACA080804-380","A","1",""
"92","1140268921","胶管F481CACA101006-550","A","1",""
"93","1140255580","胶管F481CACA101006-500","A","1",""
"94","1140215575","胶管F481CACF121206-1750","A","1",""
