"序号","物料编码","名称及规格","版本","件数","备注"
"60","02151601100211191","上机罩体 Tp4","A","1",""
"61","02151601100211240","橡胶皮套II Tp1","A","2",""
"62","02151601100211210","橡胶皮套 Tp1","A","2",""
"63","1040004519","螺栓 M8×25-8.8","A","3","GB/T5783-2000"
"64","1040303580","垫圈 8-300HV","A","16","GB/T96.1-2002"
"65","1040004521","螺栓 M8×45-8.8","A","5","GB/T5783-2000"
"66","1040201089","螺母 M8-8","A","8","GB/T6170-2000"
"67","02151601100211220","上机罩骨架","B","1",""
"68","02151601100211230","网眼板 Tp0.6","A","1",""
"69","02151601100211250","网眼板II Tp0.6","A","1",""
