"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040004517","螺栓 M8×16-8.8","A","4","GB/T5783-2000"
"2","02151607100401090","油箱盖总成 2908001","A","1",""
"3","1040102778","螺钉 M6×10-8.8","A","2","GB/T70.1-2000"
"4","02151607100401100","液位计罩 Tp2","B","1",""
"5","1019901354","液位液温计","A","1","FSA-176-1.0/T/10"
"6","02151607100410002","燃油箱总成","C","1",""
"7","1040302489","垫圈 10-200HV","B","3","GB/T97.1-2002"
"8","1040004033","螺栓 M10×25-10.9","A","3","GB/T5783-2000"
"9","02151607100401041","燃油管Ⅰ O10×3","A","1",""
"10","1140115463","快换接头 9.89","A","1","CWDGBD9.89<PA1
2>"
"11","02151607100401071","燃油管Ⅳ O10×3","A","1",""
"12","1040004619","螺栓 M8×35-8.8","A","2","GB/T5783-2000"
"13","1040202855","螺母 M8-8","A","5","GB/T889.1-2000"
"14","1040301515","垫圈 8-200HV","A","9","GB/T97.1-2002"
"15","1040004519","螺栓 M8×25-8.8","A","1","GB/T5783-2000"
"16","1000000926_REF005","参考组件","A","1",""
"17","02151607100401050","燃油管II O10×3","A","1",""
"18","1040202854","螺母 M6-8","A","2","GB/T889.1-2000"
"19","1040002555","螺栓 M6×16-A2-70","A","5","GB/T5783-2000"
"20","1040303579","垫圈 6-300HV","A","7","GB/T96.1-2002"
"21","1990200692","涂塑胶条","A","5","20-φ20-φ20-M8"
"22","1140114594","快换接头 9.49","A","1","D9.49>PA12<F0090
49"
"23","00773407100401060","空心螺栓 M16×1.5×35","A","4",""
"24","1081000673","组合密封垫圈 16","A","8","JB/T982-1977"
"25","00773407100401050","接头II <o>10","A","4",""
"26","1990202279","涡轮涡杆卡箍 12-20","A","6","SX9/W4/12-20"
"27","1040004672","螺栓 M5×10-8.8","A","8","GB/T5783-2000"
"28","1040300514","垫圈 5-200HV","A","8","GB/T97.1-2002"
"29","02151607100411180","呼吸阀","A","1",""
"30","02151607100401011","油位传感器 104228004","A","1",""
"31","1040002738","螺栓 M6×12-A2-70","A","8","GB/T5783-2000"
"32","1040300771","垫圈 6-200HV","A","8","GB/T97.1-2002"
"33","02552307100411100","密封圈 <o>180×5.3","A","1",""
"34","1040007536","螺栓 M10×35-10.9","A","2","GB/T5783-2000"
"35","1040303581","垫圈 10-300HV","A","7","GB/T96.1-2002"
