"序号","物料编码","名称及规格","版本","件数","备注"
"15","1140108211","三通可调向接头","A","1","TEE10LMOMDCF"
"16","1140101825","高压铰接式接头","A","2","WH10LMKDSOMD
CF"
"17","1040302489","垫圈 10-200HV","B","8","GB/T97.1-2002"
"18","1040007221","螺栓 M10×60-10.9","A","4","GB/T5782-2000"
"19","02151600200801010","油缸插销 Φ32*","A","2",""
"20","1040201865","螺母 M6-8","A","2","GB/T6170-2000"
"21","1040002555","螺栓 M6×16-A2-70","A","2","GB/T5783-2000"
"22","02151600200840000","液压油缸","A","1",""
"23","02151600200801040","调整垫片Tp2 Tp2","A","8",""
"24","02151600200801020","调整垫片 Tp0.5","A","8",""
"25","1040202856","螺母 M10-10","A","4","GB/T889.1-2000"
"26","1140109052","接头","A","2","GE10LR1/2EDOMD
CF"
"27","1140115181","快换接头 G1/2","A","1","6603-8-10"
"28","1140115182","快换接头 G1/2","A","1","6605-8-10"
"29","02151600200820000","快换液压锁安装组件","A","1",""
