"序号","物料编码","名称及规格","版本","件数","备注"
"170","1140101477","直角组合接头 M18×1.5","A","2","EW12LOMDCF"
"171","1010310460","支腿控制阀","A","1","ED-06-03E-00M-
00I-G- S-12DC-
DTM-MP--PKP22"
"172","1040300771","垫圈 6-200HV","A","4","GB/T97.1-2002"
"173","1040301610","垫圈 6","A","4","GB/T93-1987"
"174","1040102372","内六角圆柱头螺钉 M6×20-A2-70","A","4","GB/T70.1-2000"
"175","02151605300271011","控制阀安装支架","A","1",""
"176","1140115402","加长端直通接头","A","1","GE18LREDOMDCF
-L75"
"177","1140101527","端直通接头 G1/2/M24×1.5","A","1","GE16SREDOMDCF"
"178","1140114041","液压管接头 M14×1.5-G1/4","A","1","GE08LREDOMD"
"179","1140101462","端直通接头 G3/8/M18×1.5","A","6","GE12LREDOMDCF"
