"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040007502","螺栓 M10×16-10.9","A","3","GB/T5783-2000"
"2","1040302489","垫圈 10-200HV","B","3","GB/T97.1-2002"
"3","1040202855","螺母 M8-8","A","19","GB/T889.1-2000"
"4","1040004619","螺栓 M8×35-8.8","A","4","GB/T5783-2000"
"5","1040301031","垫圈 12-300HV","B","12","GB/T96.1-2002"
"6","1040004653","螺栓 M12×30-10.9","A","4","GB/T5783-2000"
"7","1040301515","垫圈 8-200HV","A","25","GB/T97.1-2002"
"8","1040004520","螺栓 M8×30-8.8","A","15","GB/T5783-2000"
"9","1990202279","涡轮涡杆卡箍 12-20","A","4","SX9/W4/12-20"
"10","02151607100601230","蒸汽胶管II O8×4","A","1",""
"11","1000300735","膨胀水箱 4L","A","1","1311-01690"
"12","02151607100601220","蒸汽胶管I O8×4","A","1",""
"13","02151607100601390","支撑板总成","C","1",""
"14","02151607100601240","护孔圈IV O110×20","A","1",""
"15","02151607100601180","护孔圈II O65×15","A","1",""
"16","02151607100601170","护孔圈I O75×15","A","1",""
"17","02151607100601210","管夹 Tp2","A","1",""
"18","02151607100601140","进气胶管I O64×5","B","1",""
"19","02151607100601020","进气钢管 Ow65×1.5","A","1",""
"20","1990202282","涡轮涡杆卡箍 25-40","A","2","SX9/W4/25-40"
"21","02151607100601200","补水管 O25×5","A","1",""
"22","1990202289","螺旋涡轮涡杆卡箍 57-79","A","4","SX12/W3/57-79"
"23","02151607100601150","进气胶管II O65×5","A","1",""
"24","1000301157","散热器总成","B","1","BR93562ZC"
"25","02151607100601252","压板I Tp4","A","1",""
"26","02151607100601410","压板IV Tp4","A","2",""
"27","02151607100601264","挡风板 T6","A","1",""
"28","02151607100601303","压板II Tp4","A","1",""
"29","02151607100601270","海绵条 T25","A","1",""
"30","02151607100601312","压板III Tp4","A","1",""
"31","1990202288","螺旋涡轮涡杆卡箍 45-67","A","9","SX12/W3/45-67"
"32","02151607100601080","胶管接头 O51×5","A","1",""
"33","02151607100601050","回水钢管 Ow51×1.5","A","1",""
"34","02151607100601111","胶管接头III O67×5","A","1",""
"35","1000301156","风扇总成","A","1","WFCN21F00499"
