"序号","物料编码","名称及规格","版本","件数","备注"
"2","1040301016","垫圈 16-300HV","A","15","GB/T97.1-2002"
"4","00771402800001140","自润滑轴承 O58×4×40","A","14",""
"7","1080000006","油杯 M8×1","A","8","JB/T7940.1-1995"
"44","1040002445","螺栓 M16×35-8.8","A","3","GB/T5783-2000"
"45","02151602803200001","变幅油缸销轴焊接","B","1",""
"46","02151602800601010","隔套I Ow77×3*","A","1",""
"47","02151602800620000","变幅油缸","A","1",""
"48","00771402800001130","自润滑轴承 O78×4×60","A","4",""
"49","02151602800601020","隔套II Ow77×3*","A","1",""
"50","02151602800001050","垫片 Tp1","A","6",""
"51","02151602801800001","销轴II","B","1",""
"52","02151602800001440","自润滑轴承 O58×4×75","A","1",""
"53","02151602805210000","辅助调平油缸","A","1",""
"54","02151602804600000","销轴","B","1",""
