"序号","物料编码","名称及规格","版本","件数","备注"
"16","1080000006","油杯 M8×1","A","5","JB/T7940.1-1995"
"26","1040302489","垫圈 10-200HV","B","64","GB/T97.1-2002"
"27","02154400301230000","滑块","B","22",""
"28","00771400301401020","调整垫片 Tp1","B","64",""
"29","02151600301001160","SF-1轴承 O75×2.5×100","A","3",""
"30","02151600301001091","中间刷板 T3","A","2",""
"31","02151600301001111","下压板 Tp4","A","1",""
"32","02151600301001102","下刷板 T3","A","1",""
"33","02151600301001121","中间压板 Tp4","A","2",""
"34","1040300771","垫圈 6-200HV","A","27","GB/T97.1-2002"
"35","1040001631","螺栓 M6×20-A2-70","A","27","GB/T5783-2000"
"36","02151600301001062","上刷板 T3","A","1",""
"37","02151600301001071","上压板 Tp4","A","1",""
"38","1040007536","螺栓 M10×35-10.9","A","6","GB/T5783-2000"
"39","02151600301001010","垫块 T15*","A","2",""
"40","02151600301010000","滑块","C","2",""
"41","02151600301060000","导向轮装置","A","1",""
"42","02151600301001180","透明贴板 Tp2","A","1",""
"43","1040103785","螺钉 M4×16-8.8","A","2","GB/T70.1-2000"
