"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040201865","螺母 M6-8","A","2","GB/T6170-2000"
"2","1040301610","垫圈 6","A","2","GB/T93-1987"
"3","1040300771","垫圈 6-200HV","A","2","GB/T97.1-2002"
"4","1021000449","冷凝器及电子风扇总成","A","1","KC72A003A"
"5","1040007536","螺栓 M10×35-10.9","A","11","GB/T5783-2000"
"6","1040301502","垫圈 10","A","16","GB/T93-1987"
"7","1040302489","垫圈 10-200HV","B","20","GB/T97.1-2002"
"8","1040201646","螺母 M10-10","A","4","GB/T6170-2000"
"9","1149801011","液体管","A","1","KK82G002Z"
"10","1149801010","排气管","A","1","KK82G001Z"
"11","1149801012","吸气管","A","1","KK82G003Z"
"12","1040202856","螺母 M10-10","A","2","GB/T889.1-2000"
"13","1040007511","螺栓 M10×140-10.9","A","2","GB/T5782-2000"
"14","1070700028","压缩机 8PK","A","1","KD82G001Z"
"15","1029908061","CAN控制盒 DC12V","A","1","TJ82G001Z"
"16","1040301515","垫圈 8-200HV","A","10","GB/T97.1-2002"
"17","1040004520","螺栓 M8×30-8.8","A","4","GB/T5783-2000"
"18","1040201089","螺母 M8-8","A","5","GB/T6170-2000"
"19","1060200102","外循环过滤器","A","1","KG02G043Z"
"20","02151601200067670","蒸发器（短管）","A","1",""
"21","1040301510","垫圈 8","A","2","GB/T93-1987"
"22","1149902836","暖水管 500mm×Φ16","A","2","KK82G007Z"
"23","1149902839","暖水管直通转接钢管Φ16 Φ16","A","2","20000301"
"24","1990202280","涡轮涡杆卡箍 16-25","A","8","SX9/W4/16-25"
"25","1149902837","暖水管（进） 2250mm×Φ16","A","1","KK82G008Z"
"26","1149902838","暖水管（出） 2000mm×Φ16","A","1","KK82G009Z"
"27","1060100518","水阀","A","1","KK82G004Z"
"28","1149901636","滴水管","A","1","KK08A001A"
"29","1220000035","进风壳体总成","A","1","KG82G002Z"
"30","1040101692","螺栓 M10×1.25×25-10.9","B","1","GB/T5786-2000"
"31","1040004521","螺栓 M8×45-8.8","A","1","GB/T5783-2000"
