"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151603501200000","右轮胎轮辋总成","A","2",""
"2","1029908085","力传感器","A","1","7_IMD_150"
"3","1030101169","后桥","A","1","212/10169634"
"4","02151603501400001","传动轴II","A","1",""
"5","02151603500200000","左轮胎轮辋总成","A","2",""
"6","02151603500001010","压片 Tp22","A","8",""
"7","1040301510","垫圈 8","A","16","GB/T93-1987"
"8","1040006465","螺栓 5/16-24UNF-2B×40-10.9","A","16","ASME B18.2.1-2012"
"9","02151603500600000","分动箱安装","E","1",""
"10","02151603501600001","传动轴I","A","1",""
"11","1040002514","螺栓 M12×50-10.9","B","4","GB/T5782-2000"
"12","1040301503","垫圈 12","A","4","GB/T93-1987"
"13","1040302490","垫圈 12-200HV","B","8","GB/T97.1-2002"
"14","1040202857","螺母 M12-10","A","4","GB/T889.1-2000"
"15","1030101168","前桥","A","1","212/10169633"
"16","02151603500001020","轴套 Ow35*7","A","8",""
"17","1040302502","垫圈 20","A","8","GB/T1230-1991"
"18","1040004011","螺栓 M20×180-10.9","A","8","GB/T5782-2000"
