"序号","物料编码","名称及规格","版本","件数","备注"
"1","1022200192","2插插头","A","1","DTP06-2S"
"2","1020703391(5)","连接器","A","1","DT06-6S"
"3","1020701646(2)","护套","A","2","DJ7013-6.3-2195"
"4","1020520958","门开关","A","1","6ZF 103 549 001"
"5","/","/","/","1","172198-1"
"6","1020700939(15)","接线插头","C","1","DT06-2S"
"7","1029902115(2)","六芯插头","A","1","DTM06-6S"
"8","1020202125","GPS终端","A","1",""
"9","1029901598","O形裸端头","A","2","GQ-OT4-8"
"10","1029902320","护套","A","4","DJ7013-6.3-21/95"
"11","1020304584","大电流继电器","A","1","AZ979-1A-12DE"
"12","1020706848","48P母端护套","A","3","2366494-1"
"13","1020603114","保险","A","1","257005"
"14","/(2)","/","/","1","257003"
"15","1020707897","护套","A","1","132012-013"
"16","1020707898","护套","A","1","132012-014"
"17","1020707899","护套","A","1","132012-015"
"18","1020707900","护套","A","1","132012-016"
"19","1020707901","护套","A","1","132012-017"
"20","1020707902","护套","A","1","132012-018"
"21","1020999231","电源管理模块","A","1",""
"22","1020702747","连接器","A","3","DTM06-12S"
"23","1020700020","插头护套","A","1","DJ7061-6.3-11"
"24","1020700021","插座护套","A","1","DJ7061-6.3-21"
"25","1020700939(16)","接线插头","C","1","DT06-2S"
"26","1020707041","护套","A","1",""
"27","1020700939(17)","接线插头","C","1","DT06-2S"
"28","1020700939(18)","接线插头","C","1","DT06-2S"
"29","1020404399","警示灯","A","1","JD90A-H03Y012"
"30","1020700939(19)","接线插头","C","1","DT06-2S"
"31","1020700939(20)","接线插头","C","1","DT06-2S"
"32","1029907451","照明灯","A","4","1GA-360-201-017"
"33","1020700110(2)","九路连接器","A","1","HD10-9-1939P"
"34","1020707903","控制器插头-RC28-14","A","1","R902603622"
"35","1020700939(21)","接线插头","C","1","DT06-2S"
