"序号","物料编码","名称及规格","版本","件数","备注"
"1","02159900100201020","货叉安装轴 Φ60*","A","1",""
"2","1040200504","螺母 M10-8","A","2","GB/T889.1-2000"
"3","1040301502","垫圈 10","A","2","GB/T93-1987"
"4","1040302489","垫圈 10-200HV","B","4","GB/T97.1-2002"
"5","02159900100201030","挡块 Tp28*","B","2",""
"6","1040004658","螺栓 M10×110-8.8","A","2","GB/T5782-2000"
"7","1040400096","柳钉 3×9","B","4","GB/T12618-1990"
"8","02159800400201010","属具铭牌","A","1",""
"9","02159900100210001","货叉门架","D","1",""
"10","02159900100220001","货叉","B","2",""
