"序号","物料编码","名称及规格","版本","件数","备注"
"133","1040301510","垫圈 8","A","2","GB/T93-1987"
"134","1140101477","直角组合接头 M18×1.5","A","4","EW12LOMDCF"
"135","1140105928","端直通接头 φ22-G1/2A","A","2","GE22LR1/2EDOMD
CF"
"136","1040103117","螺钉 M8×80-8.8","A","2","GB/T70.1-2000"
"137","1140101737","直角组合接头 M36×2","A","1","EW28LOMDCF"
"138","1140101821","端直通接头","A","1","GE28LR11/4EDOM
DCF"
"139","1140101463","端直通接头 G1/2/M18×1.5","A","5","GE12LR1/2EDOMD
CF"
"140","1140101992","螺塞 G1/2","A","1","VSTI1/2EDCF"
"141","1140115619","端直通加长接头","A","1","GE12LR1/2EDOMD
CF-L80"
"142","1019902683","回油块","A","1","ST5895-A00A"
