"序号","物料编码","名称及规格","版本","件数","备注"
"1","02151605300270001","支腿控制阀安装组件","B","1",""
"2","02151605300290001","驻车制动阀安装组件","A","1",""
"3","02151605200340002","1.4L蓄能器安装组件","A","1",""
"4","02151605200300001","挡位切换阀安装组件","B","1",""
"5","02151605300220003","行走马达安装组件","C","1",""
"6","02151605300250000","散热马达安装组件","B","1",""
"7","02151605300240001","制动泵安装组件","B","1",""
"8","02151605300280003","散热控制阀安装组件","A","1",""
"9","02151605300210004","行走泵安装组件（丹佛斯）","C","1",""
"10","02151605300350000","0.75L蓄能器安装组件","A","1",""
"11","02151605300260003","多路阀安装组件","B","1",""
"12","02151605300340000","浮动切换阀安装组件","A","1",""
"13","02151605300300002","制动油壶安装组件","A","1",""
"14","02151605300330002","三通螺纹座安装组件","A","1",""
"15","02151605300230003","工作泵安装组件","A","1",""
"16","02151605200290000","转向模式切换阀安装组件","B","1",""
"17","02151605300310001","制动缸安装组件","A","1",""
"18","02151605200250001","转向器安装组件","A","1",""
