"序号","物料编码","名称及规格","版本","件数","备注"
"1","1040007536","螺栓 M10×35-10.9","A","12","GB/T5783-2000"
"2","1040302489","垫圈 10-200HV","B","16","GB/T97.1-2002"
"3","1040101826","英制螺钉 3/8-16UNC-2A×35-10.9","A","8","3/8-16UNC-2A"
"4","1000000926","柴油发动机 74kw/2200rpm","A","1","QSF3.8"
"5","1040004553","螺栓 M6×35-8.8","A","4","GB/T5783-2000"
"6","1040300771","垫圈 6-200HV","A","4","GB/T97.1-2002"
"7","1040301515","垫圈 8-200HV","A","2","GB/T97.1-2002"
"8","1040004519","螺栓 M8×25-8.8","A","2","GB/T5783-2000"
"9","02151607100201141","ECU安装板","A","1",""
"10","1040202854","螺母 M6-8","A","4","GB/T889.1-2000"
"11","1040202855","螺母 M8-8","A","2","GB/T889.1-2000"
"12","02151607100201120","衬套II Φ24","A","1",""
"13","1040303580","垫圈 8-300HV","A","1","GB/T96.1-2002"
"14","1040007539","螺栓 M8×110-8.8","A","1","GB/T5782-2000"
"15","02151607100201130","衬套I Φ24","B","1",""
"16","1040303581","垫圈 10-300HV","A","1","GB/T96.1-2002"
"17","1040006095","外六角螺栓 M10×110-10.9","A","1","GB/T5782-2000"
"18","02151607100201061","弯板IV Tp12","B","1",""
"19","1040104090","螺钉 M10×30-10.9","A","4","GB/T70.2-2000"
"20","02154407100201081","弯板II Tp12","A","1",""
"21","02151607100201082","皮带罩 Tp3","B","1",""
"22","1040301031","垫圈 12-300HV","B","2","GB/T96.1-2002"
"23","1040007390","螺栓 M12×140-10.9","B","2","GB/T5782-2000"
"24","02151607100201100","衬套 Φ24","A","2",""
"25","02151607100230000","发动机托架","B","1",""
"26","1040202858","螺母 M16-10","A","4","GB/T889.1-2000"
"27","02151607100201070","垫板 Tp4","A","8",""
"28","1009901073","发动机减震器","A","8","MDS95-45(10-
04816)"
"29","1040301033","垫圈 20-300HV","B","8","GB/T97.1-2002"
"30","1040007518","螺栓 M20×60-10.9","A","8","GB/T5782-2000"
"31","1040301016","垫圈 16-300HV","A","4","GB/T97.1-2002"
"32","1040007196","螺栓 M16×120-10.9","B","4","GB/T5782-2000"
"33","1040004029","螺栓 M12×35-10.9","A","14","GB/T5783-2000"
"34","02154407100201071","弯板I Tp12","A","1",""
"35","1040302490","垫圈 12-200HV","B","14","GB/T97.1-2002"
