"序号","物料编码","名称及规格","版本","件数","备注"
"13","1040301515","垫圈 8-200HV","A","35","GB/T97.1-2002"
"33","02151602802200001","支撑架","B","1",""
"34","1040502298","销轴 B20×160","A","2","GB/T882-2000"
"35","1040502299","保险销 5×40","A","2","DIN11023-1979"
"36","1040006672","星形把手螺栓 M12×20-10.9","A","2","JB/T7274.4-1994"
"37","1040202856","螺母 M10-10","A","2","GB/T889.1-2000"
"38","02151602800001381","板 Tp3","B","1",""
"39","00771400800001051","拉杆 φ10","A","2",""
"40","02151602804800002","蓄电池支架焊接","B","1",""
"41","1040004520","螺栓 M8×30-8.8","A","4","GB/T5783-2000"
