"序号","物料编码","名称及规格","版本","件数","备注"
"30","02151601100210004","上机罩","A","1",""
"31","1040102737","螺钉 M8×30-8.8","A","15","GB/T70.1-2000"
"32","1040303580","垫圈 8-300HV","A","23","GB/T96.1-2002"
"33","02151601100230002","机罩安装座","B","1",""
"34","1040301515","垫圈 8-200HV","A","9","GB/T97.1-2002"
"35","1040301021","垫圈 14-300HV","B","6","GB/T97.1-2002"
"36","1040301504","垫圈 14","A","6","GB/T93-1987"
"37","1040004038","螺栓 M14×30-10.9","A","6","GB/T5783-2000"
"38","1040201089","螺母 M8-8","A","21","GB/T6170-2000"
"39","1040301510","垫圈 8","A","17","GB/T93-1987"
"40","02151601100250000","合页","A","3",""
"41","1100700163","门把手","A","1","26983-09"
"42","1110100355","气弹簧 弹伸长度
405mm,S=160mm,F=600N,M8×20","A","2","550696"
"43","1040006017","螺钉 M6×25-A2-70","B","7","GB/T70.1-2000"
"44","1040300771","垫圈 6-200HV","A","8","GB/T97.1-2002"
"45","1109900766","电池门锁","A","1","50076-C38K"
"46","02151601100201010","锁芯安装板 Tp6","A","1",""
"47","1040004029","螺栓 M12×35-10.9","A","2","GB/T5783-2000"
"48","1040301031","垫圈 12-300HV","A","11","GB/T96.1-2002"
"49","02151601100240000","锁扣座","A","1",""
"50","02151601100201030","调整垫 Tp5","B","1",""
"51","1040202861","螺母 M12-10","A","2","GB/T6170-2000"
"52","1040004678","门碰螺栓 M10×70","A","2","M10×70"
"53","1040201646","螺母 M10-10","A","4","GB/T6170-2000"
"54","02151601100220003","下机罩","A","1",""
"55","02151601100201041","弯板 Tp1","B","1",""
"56","1040002555","螺栓 M6×16-A2-70","A","12","GB/T5783-2000"
"57","1040301610","垫圈 6","A","12","GB/T93-1987"
"58","1040303579","垫圈 6-300HV","A","12","GB/T96.1-2002"
"59","1040004028","螺栓 M12×25-10.9","A","7","GB/T5783-2016"
