"NO.","Material No.","Item and Spec","Units","Remark"
"29","1054400315","Composite bush","24",""
"30","00775800300001080","Spacer","12",""
"31","00775800300001240","Axle II","6",""
"32","1054400499","Composite bush","4",""
"33","00775800300001030","Axle III","2",""
"34","1040002514","Bolt M12×50-10.9","2","GB/T5782-2000"
"35","1040201896","Nut M6-8","3","GB/T889.1-2000"
"36","1040300771","Washer 6-200HV","6","GB/T97.1-2002"
"37","00775800100001140","Stop pin","3",""
"38","00775800300001060","Slot coupling shaft","3",""
"39","1040001640","Bolt M6×25-8.8","3","GB/T5783-2000"
"40","00775800300001160","Limit block I","1",""
"41","1040202856","Nut M10-8","13","GB/T889.1-2000"
"42","1040302489","Washer10-300HV","15","GB/T96.1-2002"
"43","1040303581","Washer10-300HV","1","GB/T96.1-2002"
"44","1040007221","Bolt M10×60-10.9","1","GB/T5782-2000"
"45","00775800300001040","Long linkage axle","1",""
"46","1040000574","Bolt M10×30-10.9","2","GB/T5783-2000"
"47","1040303583","Washer25","1","GB/T93-1987"
"48","00775800300001150","Limit sensor bracket","1",""
