"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775800300400000","Internal scissor arm I","1",""
"2","00775800300200000","External scissor arm I","1",""
"3","00775800300600000","External scissor arm II","1",""
"4","00775800300800000","Internal scissor arm II","1",""
"5","00774500301200000","Internal scissor arm III","1",""
"6","00774400300400000","External scissor arm III","1",""
"7","1040500212","pin","1","GB/T91-2000"
"8","1040502159","pin","1","GB/T882-2008"
"9","1040302489","Washer 10-200HV","2","GB/T97.1-2002"
"10","00775800300001170","Slot III","1",""
"11","00774400300001010","Slot IV","1",""
"12","00775800302200000","Link","4",""
"13","00775800303000000","Slot II Weld","1",""
"14","00775800302800000","Slot I Weld","1",""
"15","1040003970","Bolt 1/2-13UNC-35-8.8","16","GB/T5783-2000"
"16","1040301503","Washer 12","16","GB/T93-1987"
"17","1040302490","Washer 12-200HV","16","GB/T97.1-2002"
"18","00773400200001070","Stop pin","18",""
"19","00775800300001010","Axle I","16",""
"20","1054400367","Composite bush","8",""
"21","1040004619","Bolt M8×35-8.8","4","GB/T5782-2000"
"22","1040301515","Nut M8-8","8","GB/T97.1-2002"
"23","1054400313","Composite bush","23",""
"24","00775800300001210","Stop pin","4",""
"25","00775800300001050","Short connecting rod axle","3",""
"26","1040202855","Nut M8-8","4","GB/T889.1-2000"
"27","1040303586","Retaining ring 58","12",""
"28","00775800300001230","Gasket","11",""
