"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775307080402040","Label- Store the Operation 
and Safety Manual","1",""
"2","00775307010402010","Label- Safety Rules","1",""
"3","00775207010403070","Danger- Tip-over Hazard","1",""
"4","00775307080202090","Label- Lanyard Anchorage Point","16",""
"5","00775307080402030","Label- Read the Instructions","2",""
"6","00775807010401100","Danger- Crushing Hazard、Guardrail","4",""
"7","00775307040401040","Danger- Crushing Hazard","4",""
"8","00775307040401050","Label- Safety Arm","2",""
"9","00775807010201080","Label-Stay Away From Outriggers","4",""
"10","00775807010201070","Label-Outriggers Load","4",""
"11","00775807010201120","Label-Heading","4",""
"12","00775807010401140","Label- Wheels Load","4",""
"13","00775807010201170","Forbidden Trample","1",""
"14","00775807010401110","Label-Maintenance of Compartment","2",""
"15","00775807000201160","Label-4×4","2",""
"16","00775307080202010","Label- Tie-down and Lifting","4",""
"17","00775807010201130","Label-Rated Load","1",""
"18","00775307080402120","Danger- Crushing Hazard","1",""
"19","00775307080402170","Label- Max Manual Force","1",""
"20","00775307080402110","Main Power Switch","1",""
