"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775807100801060","Intake hose (KUBOTA 
V2403-M-DI-ET04/V2403-
M-DI-E3B-ZML4T)","1","2023.10 Modify"
"","00775807110801050","Intake hose (KUBOTA 
V2403 -CR-EW02)","1",""
"2","1990202290","Spiral turbine rod clamp","2",""
"3","1000100391","Air filter assembly 
 (KUBOTA V2403-M-DI-
ET04 /V2403-M-DI-E3B-
ZML4T)","1","2023.10 Modify"
"4","00775807100801020","Intake tube I (KUBOTA 
V2403-M-DI-ET04/V2403-
M-DI-E3B-ZML4T)","1","2023.10 Modify"
"","00775807110801020","Intake tube I (KUBOTA 
V2403 -CR-EW02)","1",""
"5","1990202288","Spiral turbine rod clamp","3",""
"6","00775807100801040","Intake steel tube  (KUBOTA 
V2403-M-DI-ET04/V2403-
M-DI-E3B-ZML4T)","1","2023.10 Modify"
"","00775807110801040","Intake steel tube  (KUBOTA 
V2403 -CR-EW02)","1",""
"7","00775807100801030","Intake tube II (KUBOTA 
V2403-M-DI-ET04/V2403-
M-DI-E3B-ZML4T)","1","2023.10 Modify"
"","00775807110801031","Intake tube II (KUBOTA 
V2403 -CR-EW02)","1",""
"8","00775807100601140","Plate III","1",""
"9","00775807100601120","Plate I","1",""
"10","00775807100602010","Wind shield (KUBOTA 
V2403-M-DI-ET04)","1","2023.10 Modify"
"","00775807110602010","Wind shield (KUBOTA 
V2403 -CR-EW02)","1",""
