"NO.","Material No.","Item and Spec","Units","Remark"
"21","1040103117","Bolt M8×75-8.8","3","GB/T5782-2000"
"22","00775800102601030","Nylon spacer","5",""
"23","00775800100001200","Gasket I","2",""
"24","1040300167","Washer 20","2","GB/T894.1-1986"
"25","00775800102610000","Trolley bracket weldment","1",""
"26","00775800102601020","Trolley I","2",""
"27","1052500006","Bearing 6004-2RS","4","GB/T 276-1994"
"28","00775800102601040","Pin III","1",""
"29","1040202856","Nut M10-10","2","GB/T889.1-2000"
"30","1040302489","Washer 10-200HV","4","GB/T97.1-2002"
"31","1040000574","Bolt M10×30-12.9","2","GB/T5783-2016"
"32","00775800100001090","Side guard of extension deck","2",""
"33","00775800100001110","Rubber spacer","4",""
"34","1040201674","Nut M8-8","2","GB/T13681-1992"
"35","1040004520","Bolt M8×30-8.8","4","GB/T5783-2000"
"36","00775800103801020","Bending plate I","1",""
"37","00775800103801030","Bending plate II","1",""
"38","00775800103801010","Tooth block","2",""
"39","1040104095","Screw M8×40-8.8","2","GB/T70.3-2000"
