"Item","Part No.","Description","Qty."
"1","00002573","Nut  GB/T 6183.1  M5","2"
"2","00000999","Screw  GB/T 973  M5×10","7"
"3","10001565","Beacon bracket","1"
"4","00000740","Beacon","1"
"5","10000488","Beacon cover","1"
"6","00002484","Screw  GB/T 70.1  M5×25","2"
"7","00000605","Washer  GB/T 97.1  5","8"
"8","10011886","Lock","2"
"9","00007943","Washer  GB/T 862.2  5","6"
"10","00007942","Washer  GB/T 861.2  5","6"
"11","00001030","Screw  GB/T 70.1  M5×10","6"
"12","00002419","Limit switch","2"
"13","00002415","Screw  GB/T 70.1  M4×30","6"
"14","00000604","Screw  GB/T 70.1  M4×16","4"
"15","10001567","Switch cover","1"
"16","00001054","Screw  GB/T 70.1  M4×12","4"
"17","00000779","Washer  GB/T 93  4","6"
"18","00000778","Washer  GB/T 97.1  4","6"
"19","10001566","Switch cover","1"
"20","10002118","Cover","1"
"21","10018252","Frame weldment (JCPT0608DCS)","1"
"","10007809","Frame weldment (JCPT0708DCS)","1"
"22","10018263","Counterweight (JCPT0608DCS)","1"
"23","00000830","Bolt  GB/T 70.3  M6×16 (JCPT0608DCS)","4"
"24","00003176","Bolt  GB/T 5782  M6×40","2"
"25","00000606","Washer  GB/T 93  5","2"
"26","00000694","Tilt sensor","1"
"27","10002025","Sensor bracket","1"
"28","00002574","Nut  GB/T 6183.1  M6","2"
