"Item","Part No.","Description","Qty."
"25","00007393","Pressure Sensor (current signal)","1"
"","00000696","Pressure sensor (voltage signal)","1"
"26","00001244","Alarm","1"
"27","00004274","Hydraulic power unit","1"
"28","00000666","Horn","1"
"29","00002943","Left motor","1"
"30","00002944","Right motor","1"
"31","00002483","Motor controller","1"
"32","00004276","Motor","1"
"33","00002028","DC Contactor","1"
"34","00003069","200A Fuse assembly","1"
"35","00000655","Power switch","1"
"36","00002200","Battery","2"
"37","00005060","Charger","1"
