"Item","Part No.","Description","Qty."
"1","09110037","Decal, Ground control panel","1"
"2","10011916","Ground control panel weldment","1"
"3","00007218","Controller","1"
"4","00000778","Washer  GB/T 97.1  4","4"
"5","00001236","Nut  GB/T 889.1  M4","4"
"6","00002561","Relay","1"
"7","00000698","Hour meter","1"
"8","00000738","Toggle switch","1"
"9","00001243","Key switch","1"
"--","00003050","Key","1"
"10","00000734","Indicator","1"
"11","00006131","Brake release switch","1"
"12","00000921","Emergency stop switch","1"
"--","00000754","Red mushroom head","1"
"--","00000752","Base with 1 NC contact","1"
