"Item","Part No.","Description","Qty."
"1","10001420","Platform slider","2"
"2","00000561","899-25502  Pin","1"
"3","10018262","Inner arm 4","1"
"4","10002328","Outer arm 5","1"
"5","10018261","Inner arm 3","1"
"6","00000560","899-25468  Pin","9"
"7","10001402","Safety arm","2"
"8","10001403","Safety arm bushing","2"
"9","00002574","Nut  GB/T 6183.1  M6","6"
"10","10002302","Inner arm 2","1"
"11","10002305","Outer arm 2","4"
"12","00002866","Bolt  QC/T 340  M6×20","2"
"13","00000559","899-25136  Pin","2"
"14","10005735","Inner arm 1","1"
"15","10002304","Outer arm 1","1"
"16","00002334","896B-25×14  Pin","2"
"17","10002311","Chassis slider","2"
"18","00002864","Bolt  QC/T 340  M6×16","2"
"19","00000217","8902-06045  Pin","2"
"20","00000584","895-25135  Pin","2"
"21","10001400","Pothole pusher","1"
"22","00000832","Screw  GB/T 70.3  M6×25","2"
"23","10001405","Pin","1"
"24","00002569","Bolt  GB/T 16674  M6×55","4"
"25","10002307","Cable bridge","3"
"26","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"27","10011776","Collar","4"
"28","00000822","Screw  GB/T 70.3  M5×16","4"
