"Item","Part No.","Description","Qty."
"1","00006082","Bolt  GB/T 5782  M10×130 (JCPT0808HA/AC)","4"
"","00002883","Bolt  GB/T 16674  M10×80 (JCPT1212HA)","4"
"","00002883","Bolt  GB/T 16674  M10×80 (JCPT1212AC, 
JCPT1412HA)","2"
"2","10000011","Counterweight 18 (JCPT0808HA/AC)","4"
"","10000489","Counterweight 35 (JCPT1212HA)","2"
"","10000489","Counterweight 35 (JCPT1212AC, JCPT1412HA, 
JCPT1612HAS)","1"
"3","00001257","Nut  GB/T 6182  M16 (JCPT1012HA/AC, 
JCPT1212HA/AC, JCPT1412HA/AC, JCPT1612HAS/ACS)","2"
"4","00000997","Washer  GB/T 97.1  16 (JCPT1012HA/AC, 
JCPT1212HA/AC, JCPT1412HA/AC, JCPT1612HAS/ACS)","4"
"5","00000615","Washer  GB/T 97.1  10 (JCPT0808HA/AC)","6"
"6","00001028","Washer  GB/T 96.1  10 (JCPT0808HA/AC, 
JCPT1212HA)","4"
"","00001028","Washer  GB/T 96.1  10 (JCPT1212AC, JCPT1412HA)","2"
"7","00002572","Nut  GB/T 6183.1  M10 (JCPT0808HA/AC, 
JCPT1212HA)","4"
"","00002572","Nut  GB/T 6183.1  M10 (JCPT1212AC, JCPT1412HA)","2"
"8","10014873","Frame weldment (JCPT0808HA/AC, JCPT1008HA/AC)","1"
"","10018713","Frame weldment (JCPT0812HA/AC)","1"
"","10011732","Frame weldment (JCPT1012HA/AC, JCPT1212HA/AC)","1"
"","10012178","Frame weldment (JCPT1412HA/AC, JCPT1612HAS/ACS)","1"
"","10011701","Frame weldment (JCPT1612HA/AC)","1"
"","10015442","Frame weldment (JCPT1614HA/AC)","1"
"9","10000483","Counterweight 400 (JCPT1012HA/AC, JCPT1212HA/AC)","1"
"","10016533","Counterweight 400 (JCPT1412HA/AC-ANSI)","1"
"","10000777","Counterweight 180 (JCPT1412HA/AC-CE, 
JCPT1612HAS/ACS)","1"
"10","00007251","Bolt  GB/T 5782  M16×260 (JCPT1012HA/AC, 
JCPT1212HA/AC)","2"
"","00005281","Bolt  GB/T 5782  M16×210 (JCPT1412HA/AC, 
JCPT1612HAS/ACS)","2"
