"Item","Part No.","Description","Qty."
"1","00008019","ECU Harness","1"
"2","00008037","Lowering valve harness (JCPT1412AC)","1"
"","00008586","Lowering valve harness (JCPT1612ACS)","1"
"","00008039","Lowering valve harness (JCPT1612AC, JCPT1614AC)","1"
"3","00008040","Pressure sensor harness (JCPT1412AC, JCPT1612ACS) 
(matching with 00007393 pressure sensor)","1"
"","00008373","Pressure sensor harness (JCPT1412AC, JCPT1612ACS) 
(matching with 00000696 pressure sensor)","1"
"","00008041","Pressure sensor harness (JCPT1612AC, JCPT1614AC) 
(matching with 00007393 pressure sensor)","1"
"","00008375","Pressure sensor harness (JCPT1612AC, JCPT1614AC) 
(matching with 00000696 pressure sensor)","1"
"4","00007701","Platform control box harness (JCPT1412AC)","1"
"","00007716","Platform control box harness (JCPT1612AC, JCPT1614AC)","1"
"","00008547","Platform control box harness (JCPT1612ACS)","1"
"5","00008035","Limit switch harness (JCPT1412AC, JCPT1612ACS)","1"
"","00008034","Limit switch harness (JCPT1612AC, JCPT1614AC)","1"
"6","00009674","Drive motor harness (JCPT1412AC, JCPT1612ACS)","2"
"","00009672","Drive motor harness (JCPT1612AC ,JCPT1614AC)","2"
"7","00007496","Power harness","1"
"8","00006909","Power harness","1"
"9","00006912","Power harness","1"
"10","00007677","Power harness","1"
"11","00008028","Battery harness (JCPT1412AC, JCPT1612ACS)","1"
"","00008024","Battery harness (JCPT1612AC, JCPT1614AC)","1"
"12","00007356","Power harness","1"
"13","00010584","Battery harness","4"
"14","00010585","Battery harness","1"
