"NO.","Material No.","Item and Spec","Qty","Remark"
"33","00773200800001070","Limit installation bracket","2",""
"34","1040102372","Hexagon socket cap screws","4","GB/T70.1-2000"
"35","1040001640","Bolt M6×25-A2-70","4","GB/T5783-2000"
"36","1040301610","Washer 6","4","GB/T93-1987"
"37","1040300771","Washer 6-200HV","10","GB/T97.1-2002"
"38","00773200801900000","Door lock","2",""
"39","00773200800001040","Door lock adjustable gasket I","4",""
"40","00773200800001060","Door lock gasket II","4",""
