"NO.","Material No.","Item and Spec","Qty","Remark"
"1","00773400312600000","Slider assembly","4",""
"2","00773400300001120","Adjustable gasket Ⅲ Tp1","2",""
"3","1040302489","Washer 10-200HV","36","GB/T97.1-2002"
"4","1040002434","Bolt M10×25-8.8","12","GB/T5783-2016"
"5","1040002433","Bolt M10×20-8.8","18","GB/T5783-2000"
"6","00771900301801050","Adjustable gasket Tp2","24",""
"7","00773400312800000","Slider assembly","12",""
"8","00773200300001130","Spacer bush","2",""
"9","1040004517","Bolt 
  M8×16-8.8","4","GB/T5783-2000"
"10","1040301515","Washer    8-200HV","12","GB/T97.1-2002"
"11","00773400310001200","Small cover","1",""
"12","00773400300001210","Bearing","2",""
"13","00773200300200000","Base boom of the upper boom","1",""
"14","00773200200001010","Bearing I","10",""
"15","00773200300800000","Lower leveling cylinder","1",""
"16","00773200301000000","Lifting cylinder of upper boom","1",""
"17","1040200507","Nut M12-8","2","GB/T889.1-2000"
"18","00773200300001020","Pin","1",""
"19","1040004605","Bolt 
  M12×75-8.8","2","GB/T5782-2000"
"20","00773200300001110","Hose seat","4",""
"21","00773200300001091","Pipeline cover","2",""
"22","1040004619","Bolt 
  M8×35-8.8","8","GB/T5783-2000"
"23","1040004565","Bolt 
  M10×30-8.8-DKL","6","GB/T5783-2016"
"24","00773200300001200","Adjustable gasket I Tp3","2",""
"25","1040001640","Bolt 
  M6×25-A2-70","2","GB/T5783-2000"
"26","1040300771","Washer    6-200HV","9","GB/T97.1-2002"
"27","00773200301400000","Lower dust-proof brush","1",""
"28","1040201896","Nut 
  M6-8","2","GB/T889.1-2015"
"29","00773200301600000","Side brush","2",""
"30","00773200301200000","Upper leveling cylinder","1",""
"31","00773200300001160","Pin","3",""
"32","00773200300001120","Platform control valve mounting 
plate","1",""
"33","1040000096","Bolt 
  M6×12-8.8","2",""
