"NO.","Material No.","Item and Spec","Qty","Remark"
"34","00773200300001030","Pin","1",""
"35","1040004511","Bolt 
  M12×30-8.8","3","GB/T5783-2000"
"36","00773400200001070","Stop pin","3",""
"37","1040101606","Screw    M8×12-8.8","10","GB/T70.3-2000"
"38","00773200300001190","Snap-gauge","2",""
"39","00773200300001170","Snap-gauge","2",""
"40","00773200300400000","Telescopic boom of the upper boom","1",""
"41","00773200300600000","Main boom telescopic cylinder","1",""
"42","1040200503","Nut 
  M8-8","4","GB/T889.1-2000"
"43","00773200310001060","Block","2",""
"44","1040002458","Bolt 
  M8×40-8.8","4","GB/T5783-2000"
"45","00773200300001010","Pin","1",""
"46","00773700302400000","Protective cover","1",""
"47","1040102778","Screw    M6×10-8.8","3","GB/T70.1-2000"
"48","1040302410","Washer    4-200HV","4","GB/T97.1-2002"
"49","1040004591","Bolt M4×8-8.8","4","GB/T5783-2000"
"50","00773700300001270","Sensor cover","1",""
"51","00773200301800000","Upper dust-proof brush","1",""
