"NO.","Material No.","Item and Spec","Qty","Remark"
"1","1022270089","Sheath","1","Turntable electric control box"
"","1029900398","Terminal","32",""
"2","1022200683","Sheath","1","Turntable electric control box"
"","1029900398","Terminal","48",""
"3","1020700951","Sheath","1","Leveling down valve"
"4","1020700951","Sheath","1","Leveling up valve"
"5","1020700951","Sheath","1","Turntable right-turn valve"
"6","1020700951","Sheath","1","Turntable left-turn valve"
"7","1020700951","Sheath","1","Boom extending valve"
"8","1020700951","Sheath","1","Boom retracting valve"
"9","1020700951","Sheath","1","Boom lowering valve"
"10","1020700951","Sheath","1","Boom lifting valve"
"11","1020700951","Sheath","1","Tower boom lifting valve"
"12","1020700951","Sheath","1","Tower boom lowering valve"
"13","1020700951","Sheath","1","Front wheel left-turn valve"
"14","1020700951","Sheath","1","Front wheel right-turn valve"
"15","1020700951","Sheath","1","Proportion control valve"
"16","1020706505","connector","","ECU cable"
"17","/","Sheath","","Alarm buzzer"
"18","1029906298","Limit switch- Tower 
boom stowed 1","",""
"19","1029906298","Turntable angle limit 
switch","",""
"20","1029906298","Limit switch- Tower 
boom stowed 2","",""
"21","1020404399","Alarm light","",""
