"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"34","00773400110410000","Переходный держатель","1",""
"35","1040201111","Гайка M24 -10","1","JB/T889"
"36","1040301511","Шайба 24-200HV","1","JB/T97.1"
"37","1040001631","Болт M6×20","4","JB/T5783"
"38","00773700100401010","Опора 
фильтра 
гидравлического","1",""
"39","1040004505","Болт M24×280-10,9","1","JB/T5782"
"40","1040004033","Болт M10×25-10.9","8","JB/T5783"
"41","1040004672","Болт M5×10-8,8","12","JB/T5783"
"42","1029904911","Пружинная подстилка 5","12","JB/T93"
"43","1040300514","Шайба 5-200HV","12","JB/T97.1"
"44","1159901036","Пружинная петля","2",""
"45","00773400100230000","Вращающаяся дверь","1",""
"46","1040201880","Гайка M8-6","1","JB/T802"
"47","1040004522","Болт M8×50-8,8","1","JB/T5783"
"48","00775600101801020","Пружина","1",""
"49","00773400100201020","Личинка замка","1",""
"50","1999904986","Коробка для файлов","1",""
"51","1040102774","Винт M6×15-8.8","6","JB/T70.1"
