"№ 
п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"13","1020604934","Соединительный зажим","11",""
"14","1020704265","Клеммная колодка заземления","3",""
"15","1020705826","Зажим диода","2",""
"16","1029904980","Соединительный зажим","9",""
"17","1029903317","48-жильный кабель в 
оболочке","1","Пучок кабеля 
поворотной платформы"
"18","1029902634","32-жильный кабель в 
оболочке","1","Пучок кабеля 
поворотной платформы"
"19","1029902634","32-жильный кабель в 
оболочке","1","Пучок кабеля стрелы"
"20","1020304584","Реле мощности","1","Источник питания 
системы"
"21","1020304584","Реле мощности","1","Пусковой мотор"
"22","1020304584","Реле мощности","1","Радиатор"
"23","1020304584","Реле мощности","1","Топливный насос"
"24","1020103903","Контроллер","1",""
"25","1020103955","Узел соединителя","1",""
