"NO.","Material No.","Item and Spec","Units","Remark"
"1","1140101477","Tube to swivel M18×1.5","11",""
"2","1140207362","Male stud connector","2",""
"3","1010601369","Oil filling filter","1",""
"4","1040300061","Washer 10","8","GB/T97.1-2002"
"5","1040300067","Washer 10","4","GB/T93-1987"
"6","1040000116","Bolt M10×20-8.8","4","GB/T5783-2016"
"7","1010601137","High pressure filter","1",""
"8","1140114403","Tube to swivel M22×1.5","1",""
"9","1140101820","Male stud connector","3",""
"10","1140101478","Tube to swivel M22×1.5","8",""
"11","1040301515","Washer 8","18","GB/T97.1-2002"
"12","1040301510","Washer 8","18","GB/T93-1987"
"13","1040004519","Bolt M8×25-8.8","18","GB/T5783-2000"
"14","1140108904","Connector M30-M30","5",""
"15","1140115851","Long male stud connector","2",""
"16","1010400309","Radiator","1",""
"17","1040200503","Nut M8-8","4","GB/T889.1-2000"
"18","1040300066","Washer 8","4","GB/T97.1-2002"
"19","1040300063","Washer 8","28","GB/T93-1987"
"20","1040000689","Bolt M8×35-8.8","4","GB/T5782-2000"
"21","1140101462","Male stud 
connectorG3/8/M18×1.5","10",""
"22","1010307105","Solenoid valve","4",""
"23","1040102034","Screw M8×60-10.9","24","GB/T70.1-2000"
"24","1140107801","Connector","2",""
"25","1140111237","Male stud connector","7",""
"26","1140113796","Combined connector","3",""
"27","1010307050","Float balance valve","2",""
"28","1010601341","Oil return filter","1",""
"29","1140111518","Connector","2",""
"30","00775805204611040","Cover plate","1",""
