"NO.","Material No.","Item and Spec","Units","Remark"
"21","00775800104200000","Guard rails II","2",""
"22","00775800104000000","Guard rails I","2",""
"23","00775800104800000","Platform gate","1",""
"24","00775800105000000","Bending rack","2",""
"25","1040301610","Washer 6","8","GB/T93-1987"
"26","1040001640","Bolt M6×25-8.8","8","GB/T5783-2000"
"27","00775800100001050","Trolley mounting plate I","4",""
"28","1040101643","Screw M6×30-8.8","4","GB/T70.1-2000"
"29","00775800100001130","Nylon block","8",""
"30","00775800100001140","Stop pin","4",""
"31","00775800100001200","Gasket I","6",""
"32","1052500006","Bearing 6004-2RS","8","GB/T 276-1994"
"33","00775800100001070","Trolley III","4",""
"34","00775800100001080","Pin II","4",""
"35","1040006017","Screw M6×25-8.8","12","GB/T70.1-2000"
"36","1040502051","D pin 8×70","9",""
