"NO.","Material No.","Item and Spec","Units","Remark"
"60","1140114627","End straight coupling","4",""
"61","1140112820","End straight coupling","2",""
"62","1010100908","Travel motor(Danfoss)","2","(2023.10 Modify)"
"","1010101382","Travel motor(Hilead)","2","(2023.10 Modify)"
"63","1040301503","Washer 12","4","GB/T93-1987"
"64","1040006277","Bolt M12×30-10.9","4","GB/T16674.1-2004"
"65","1140114622","Elbow adjustable directional joint","2",""
"66","1140101737","Right angle built-up joint M36×2","1",""
"67","1010001908","Gear pump(Danfoss)","1","2023.10 Modify"
"","1010002436","Gear pump(Hilead)","1","2023.10 Modify"
"68","1140114045","Hydraulic pipe joint M22×1.5-G3/4","1",""
"69","1140101476","Right angle built-up joint M16×1.5","2",""
"70","1140114623","End straight coupling","2",""
"71","1140112828","End straight coupling","1",""
"72","1140103421","End straight coupling","2",""
"73","1010002352","Closed pump (Hilead)","1","2023.10 Modify"
"","101002209","Closed pump(Danfoss)","1","2023.10 Modify"
"74","1140111770","End straight coupling","1",""
"75","1140105936","End straight coupling","1",""
"76","1010800175","Accumulator","1",""
"77","1140103016","End straight combination coupling","1",""
