"N
O.","Material No.","Item and Spec","Units","Remark"
"1","1140101478","Tube to swivel","1",""
"2","1140101464","Male stud connector","1",""
"3","1040300771","Washer 6-200HV","2","GB/T97.1-2002"
"4","1040000700","Bolt M6×60-8.8","2","GB/T5783-2000"
"5","1010307623","Solenoid valve","1",""
"6","1040201896","Nut M6-8","2","GB/T889.1-2000"
